objid,ra,dec,u,g,r,i,z,run,rerun,camcol,field,specobjid,class,redshift,plate,mjd,fiberid
1237649929705750736,54.8295717360911,-5.56332683024291,19.42637,18.12152,17.45049,17.0749,16.78928,1037,301,6,102,520279038686685184,GALAXY,0.04350694,462,51909,412
1237649929705750731,54.8172745522558,-5.55312256754187,19.17157,17.78975,17.24264,17.02735,16.94547,1037,301,6,102,2308194646766938112,STAR,1.337632E-05,2050,53401,363
1237649928093892688,52.0227787468257,-7.06391159545537,19.55272,18.07268,17.29576,16.82869,16.45133,1037,301,3,83,517924159909554176,GALAXY,0.03346369,460,51924,37
1237649954403778655,20.1819275525181,14.9074789751172,18.07132,16.62781,15.91768,15.52499,15.24701,1043,301,4,132,476428039593420800,GALAXY,0.05253312,423,51821,627
1237649954403778657,20.1806437678691,14.8471031696062,18.46207,17.25155,16.76975,16.57004,16.47735,1043,301,4,132,477497590737299456,GALAXY,0.03615777,424,51893,422
1237649954403844109,20.323595723764,14.8483238296908,18.57978,17.44873,17.09088,16.93276,16.86016,1043,301,4,133,477511609510553600,STAR,-0.0004737599,424,51893,473
1237649954404040822,20.8456840371146,14.792084193102,19.58182,19.23953,19.01517,18.68266,18.72929,1043,301,4,136,477521505115203584,QSO,1.56244,424,51893,509
1237649954404106250,20.9470402177856,14.6884014727916,18.49116,17.3523,16.93062,16.74545,16.69552,1043,301,4,137,477519580969854976,STAR,-0.0002616394,424,51893,502
1237649954404106336,20.9901682207347,14.6980405452034,19.52166,17.50852,16.37234,15.88912,15.4969,1043,301,4,137,477535523888457728,GALAXY,0.1384706,424,51893,560
1237649954404237331,21.3422247266424,14.8387203954184,16.5418,14.56397,13.62619,13.21625,12.80264,1043,301,4,139,477541571202410496,GALAXY,0.02186389,424,51893,582
1237649954404368629,21.6889420977013,14.6247805719033,18.47339,17.62484,16.98319,16.74663,16.87975,1043,301,4,141,478602600007100416,GALAXY,0.02155961,425,51898,346
